,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
73,Cruzeiro,Atacante,Bruno Rodrigues,11.98,-0.59,5.85,6.9,7.0,7.0,,,,1.0,2.0,2.0,,2.0,,,,,,1.0,,,,,3.0,,92811.0,283,5,5.85
74,Palmeiras,Lateral,Piquerez,10.2,0.32,6.7,5.98,5.0,7.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,102130.0,275,2,0.0
75,Cruzeiro,Zagueiro,Luciano Castn,6.54,0.21,5.0,3.83,7.0,7.0,,,,,,1.0,,,,,,,,4.0,,,,,1.0,,68942.0,283,3,0.0
76,Cruzeiro,Tcnico,Pepa,11.11,-1.06,3.36,6.67,7.0,7.0,,,,,,,,,,,,,,,,,,,,,123907.0,283,6,0.0
77,Cruzeiro,Zagueiro,Oliveira,8.32,-0.66,2.2,3.73,6.0,7.0,,,,,,2.0,,,,,,,,1.0,,,,,,,94514.0,283,3,0.0
78,Cruzeiro,Meia,Machado,6.58,-0.34,4.7,4.42,7.0,7.0,,,,2.0,1.0,,,,,,,,,2.0,,,,,3.0,,96089.0,283,4,0.0
79,Fluminense,Atacante,Cano,14.6,-0.6,1.6,4.88,7.0,7.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,79631.0,266,5,0.0
80,So Paulo,Atacante,Calleri,16.54,2.4,13.9,7.0,6.0,7.0,1.0,,,1.0,1.0,3.0,,,,,,,,2.0,,,,,,,89840.0,276,5,0.0
81,Bahia,Meia,Cauly,6.0,-0.38,0.4,3.5,7.0,7.0,,,,,,2.0,,,,,,,,,,,,,2.0,,123360.0,265,4,0.0
82,Flamengo,Lateral,Ayrton Lucas,14.83,0.56,6.0,5.72,7.0,7.0,,,,,,2.0,,,,,1.0,,,,,,,,,,88393.0,262,2,0.0
83,So Paulo,Goleiro,Rafael,8.25,0.13,2.5,4.93,7.0,7.0,,,,,,1.0,,,,,,,4.0,,,,,2.0,,,68928.0,276,1,0.0
84,Flamengo,Atacante,Pedro,12.07,0.0,1.5,4.03,6.0,8.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,2.0,,94583.0,262,5,0.0
85,Fortaleza,Meia,Caio Alexandre,8.69,-0.2,1.1,4.63,8.0,8.0,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,106323.0,356,4,0.0
86,Palmeiras,Meia,Raphael Veiga,19.08,-0.38,1.35,10.42,6.0,8.0,,,,,,5.0,,,,,,,,,,,1.0,,2.0,,94509.0,275,4,1.35
87,So Paulo,Lateral,Caio Paulista,10.05,0.42,5.3,5.39,8.0,8.0,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,102318.0,276,2,0.0
88,Palmeiras,Meia,Z Rafael,9.44,-0.47,0.4,3.73,7.0,8.0,,,,,,2.0,,,,,,,,,,,,,2.0,,82455.0,275,4,0.0
89,Internacional,Lateral,Thauan Lara,3.41,0.78,6.4,3.8,4.0,8.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,115061.0,285,2,0.0
90,Fortaleza,Atacante,Moiss,12.3,-0.01,2.7,6.42,6.0,8.0,,,,1.0,,1.0,,2.0,,,,,,1.0,,,,,,,104666.0,356,5,0.0
91,Palmeiras,Atacante,Artur,12.07,1.42,9.0,7.24,8.0,8.0,,1.0,,,1.0,4.0,,,,,,,,1.0,,,,,,,95799.0,275,5,0.0
92,So Paulo,Goleiro,Rafael,8.16,-0.09,2.0,4.56,8.0,8.0,,,,,,,,,,,,,3.0,,,,,1.0,,,68928.0,276,1,0.0
93,Botafogo,Zagueiro,Adryelson,5.65,0.2,5.5,3.15,8.0,8.0,,,,,,1.0,,,,,1.0,,,,,,,,,,91664.0,263,3,0.0
94,So Paulo,Zagueiro,Alan Franco,4.08,-1.5,-1.6,2.53,3.0,8.0,,,,,,,,,,,,,,,,,1.0,,2.0,,99889.0,276,3,0.0
95,So Paulo,Tcnico,Dorival Jnior,11.19,-0.08,6.15,6.34,7.0,8.0,,,,,,,,,,,,,,,,,,,,,40990.0,276,6,0.0
96,Fortaleza,Zagueiro,Brítez,9.01,0.52,7.3,4.33,8.0,9.0,,,,,,1,,,,,1,,,2,,,,,2,,101995.0,356,3,0.0
97,Palmeiras,Lateral,Mayke,7.32,0.91,5.5,4.67,7.0,9.0,,1,,,,1,,,,,,,,,,,,,,,81150.0,275,2,0.0
98,Palmeiras,Atacante,Dudu,16.92,0.92,13.2,7.23,9.0,9.0,,1,,2,1,6,,1,,,,,,2,,,,,1,,68920.0,275,5,0.0
99,Palmeiras,Goleiro,Weverton,8.49,-0.14,2.0,2.84,9.0,9.0,,,,,,,,,,,,,3,,,,,1,,,71631.0,275,1,0.0
100,Flamengo,Meia,Arrascaeta,14.35,0.89,19.950000000000003,6.27,4.0,9.0,,2,1,,,3,,,,,,,,,,,,,4,,87863.0,262,4,19.950000000000003
101,Fortaleza,Zagueiro,Titi,8.03,0.04,5.8,5.32,8.0,9.0,,,,,,,,,,,1,,,2,,,1,,2,,50353.0,356,3,0.0
102,Palmeiras,Técnico,Abel Ferreira,13.59,0.43,6.69,6.33,9.0,9.0,,,,,,,,,,,,,,,,,,,,,110506.0,275,6,0.0
103,Bragantino,Meia,Matheus Fernandes,12.29,0.39,4.5,5.76,9.0,9.0,,,,,,2,,,,,,,,4,,,1,,1,,94067.0,280,4,0.0
104,Fortaleza,Meia,Calebe,6.12,-0.66,0.4,3.18,9.0,9.0,,,,,,1,,1,,,,,,,,,,,,,109461.0,356,4,0.0
105,Palmeiras,Lateral,Piquerez,10.51,0.31,7.9,6.3,6.0,9.0,,1,,,,1,,,,,,,,2,,,,,,,102130.0,275,2,0.0
106,Fluminense,Atacante,Cano,14.41,0.02,3.7,4.42,9.0,9.0,,,,1,1,1,,,,,,,,1,,,,,,,79631.0,266,5,0.0
107,Fortaleza,Atacante,Thiago Galhardo,6.86,-0.69,3.9,4.02,6.0,9.0,,,,1,1,2,,,,,,,,1,,,,,1,,71844.0,356,5,0.0
