,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
16,Palmeiras,Lateral,Piquerez,7.78,-1.96,-1.4,2.4,2.0,3.0,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,2.0,,102130.0,275,2,0.0
17,Atltico-MG,Lateral,Mariano,5.37,-0.94,-0.3,1.73,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,38877.0,282,2,0.0
18,Flamengo,Meia,Everton Ribeiro,8.81,0.6,5.4,3.23,3.0,3.0,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,51772.0,262,4,0.0
19,Vasco,Zagueiro,Robson Bambu,3.1,0.81,3.4,1.4,3.0,3.0,,,,,,2.0,,,,,,,,2.0,,,,,,,101579.0,267,3,0.0
20,Palmeiras,Atacante,Endrick,8.03,0.0,0.0,4.1,2.0,3.0,,,,,,,,,,,,,,,,,,,,,115959.0,275,5,0.0
21,Flamengo,Tcnico,Jorge Sampaoli,9.65,0.3,5.29,4.47,2.0,3.0,,,,,,,,,,,,,,,,,,,,,70800.0,262,6,0.0
22,Palmeiras,Atacante,Rony,10.27,-4.73,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,91607.0,275,5,0.0
23,Palmeiras,Goleiro,Weverton,8.26,-0.84,1.0,0.67,3.0,3.0,,,,,,,,,,,,,2.0,,,,,1.0,,,71631.0,275,1,0.0
24,Fluminense,Lateral,Samuel Xavier,13.22,2.12,8.0,9.1,2.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,,73384.0,266,2,0.0
25,Bragantino,Goleiro,Luco,2.24,-0.34,0.0,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,106160.0,280,1,0.0
26,Palmeiras,Meia,Z Rafael,10.05,-1.43,2.3,4.05,2.0,2.0,,,,1.0,,3.0,,,,,,,,1.0,,,1.0,,2.0,,82455.0,275,4,0.0
27,Fortaleza,Zagueiro,Brtez,8.8,1.44,6.3,5.85,2.0,2.0,,,,,,,,1.0,,,1.0,,,2.0,,,1.0,,,,101995.0,356,3,0.0
28,Cuiab,Atacante,Jonathan Cafu,6.56,0.04,1.6,3.85,2.0,2.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,78580.0,1371,5,0.0
29,So Paulo,Meia,Rodrigo Nestor,8.51,-0.59,2.2,4.15,2.0,2.0,,,,,,1.0,,1.0,,,,,,2.0,,,,,2.0,,106822.0,276,4,0.0
30,Atltico-MG,Lateral,Rubens,11.92,4.56,13.5,9.95,2.0,2.0,,,,,,2.0,,,,,1.0,,,7.0,,,,,3.0,,110727.0,282,2,0.0
31,Corinthians,Meia,Fausto Vera,9.5,0.73,4.9,5.75,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,107950.0,264,4,0.0
32,Bragantino,Tcnico,Pedro Caixinha,8.21,0.05,2.64,4.64,2.0,2.0,,,,,,,,,,,,,,,,,,,,,117711.0,280,6,0.0
33,Amrica-MG,Zagueiro,Ricardo Silva,2.06,-0.52,0.9,0.45,2.0,2.0,,,,,,3.0,,,,,,,,,,,,,2.0,,79334.0,327,3,0.0
34,Palmeiras,Atacante,Endrick,8.03,-0.68,10.5,4.1,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,,115959.0,275,5,10.5
35,So Paulo,Atacante,Calleri,17.95,1.76,11.5,10.8,2.0,2.0,1.0,,,1.0,2.0,5.0,,,,,,,,,,,,,6.0,,89840.0,276,5,0.0
36,Atltico-MG,Goleiro,Everson,2.58,-2.42,-1.0,-1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,72294.0,282,1,0.0
37,Atltico-MG,Lateral,Saravia,6.32,-1.68,1.8,1.8,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,2.0,,96725.0,282,2,0.0
38,Fortaleza,Zagueiro,Titi,4.45,-1.55,0.9,0.9,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,50353.0,356,3,0.0
39,Fortaleza,Atacante,Thiago Galhardo,7.1,-3.9,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,71844.0,356,5,0.0
40,Grmio,Meia,Vina,5.81,-3.19,0.0,0.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,,71162.0,284,4,0.0
41,Palmeiras,Meia,Gabriel Menino,6.0,-2.0,1.3,1.3,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,103767.0,275,4,0.0
42,Atltico-MG,Meia,Zaracho,7.81,-4.19,0.1,0.1,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,3.0,,100079.0,282,4,0.0
43,Fluminense,Lateral,Samuel Xavier,11.1,4.1,10.2,10.2,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,73384.0,266,2,0.0
44,Fluminense,Zagueiro,Vitor Mendes,5.1,2.1,4.9,4.9,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,104401.0,266,3,0.0
45,Corinthians,Atacante,Rger Guedes,15.16,0.16,8.5,8.5,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,89898.0,264,5,0.0
46,Fortaleza,Tcnico,Juan Vojvoda,9.19,-0.81,4.24,4.24,1.0,1.0,,,,,,,,,,,,,,,,,,,,,104754.0,356,6,0.0
47,Palmeiras,Atacante,Endrick,8.71,2.71,7.5,7.5,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959.0,275,5,0.0
48,Fluminense,Meia,Felipe Melo,2.36,-0.06,0.0,-0.37,3.0,5.0,,,,,,,,,,,,,,,,,,,,,38545.0,266,4,0.0
